사용일자,강남,반포,삼청,서촌,성수,신사,신촌,연남,을지로,이태원,장충,종로,청담,한남,혜화,홍대
20160309,113332112372,3870386219432190241746417964,3070432216,,665164633197335037,163201818934871376723984744121,2817930042578235805810711508,5057475072981752271330172674337617,4350343907160118811342715672153452540924873589835935661726790,138681506568167074,100661027446395005447643581753616991172381825250274678,1023112703311353096639547367521526614913,28090309482614030262,4930519951391183512393,4663047605,72981752271330172674337617
20160310,113774113413,4028412119417191941771218099,3000531832,,316433492066516278,167521854340311442763504737757,1058147557913582502805329902,5091475575607797131918927466977287,153561516724253238905847859452620667521139113170604404243746,689072481425115394,17240181564969466617348169214631448545844907966510078,3112731118398073712215277149881023712890,27640310912596530176,5222534455371157212222,4710747990,75607797131918927466977287
20160311,122640126470,3844383217765183482055020343,3044932495,,322353519867306345,433734750638524433171819120442,634856483828414301039631539,5096466783618921111483231584148649,629906321125475250071584615712119161363020433874448261676902,807793401731421610,178711862717832173904918477348284645477950141022410756,4181639227328493299510435138601565016043,26060306512775831174,1212912620525053557335,4985851530,83618921111483231584148649
20160312,9435098916,3048298415964157541025410242,2385527232,,510949191522916487,151451651236421382063403135955,60895608322156122806665668,35823546919186999419610041415802737,4274241436117001116710797107572486524593570262573041794708,8916104152137625668,1520416389129301216133943143926673043150328931853180,386383726928764284676251100651356914274,17032178771687218399,43354048420291769771,4793450957,919186999419610041415802737
20160313,5536053953,62706465109441062820072058,1529917745,,2933291589899680,8077869218416184041977520719,42536407691455115504428417,2641264470494684841232202271086249,1411414212141216873155338342424066871983223182430389,164961506663646675,47195094209919961967182822422039884485301019011111,833277163435550713236131162312619662,95571024089189475,54252842307162126934,3644638443,70494684841232202271086249
20160314,112504113256,3768374517930184531948219239,2923131279,,315633433066856563,411204523734297373011625518070,5892159879283593078510541476,5251476279417594734817502213861924,580095869724314240711584315712116751333320429574383463656980,662369431402215271,17094179131747717048499046764768464445945059938010084,4066638209315933168610178127891490814897,26038302232724430189,3942529552301148711908,4464346397,79417594734817502213861924
20160315,112146111666,1760118053192721913937933722,2996832082,,682465773207735119,166881838541764453233424137193,1012138757782580572810630217,5122478613421858743477637476627546,628769545875159609243002411915836157211141012937304317543298,708572861413915187,45174473446649359997104894923451217204182501735816723,1469114802401023687732016321011012312767,26514307362753030628,5264531062461158612071,4640548103,13421858743477637476627546
20160316,114058112862,1757217990194661905638863902,2985531698,,316943475168706641,394004118333594340801692218913,5761858203281333054710221527,5211478575192771347969777813791965,595005932325332254681604016316116291251830647369074355545203,704773221473415879,175211844617460194415113473347004701469951951001110378,4126138119320173207510183124851548415625,26632305472836531381,1170513169519852804323,4827449523,75192771347969777813791965
20160317,113619113989,4175413519789194271767918284,2952732473,,316973476669406676,412614547935308386041724719345,5839258820281623039711331571,5186476080567966753877908614002054,595116047024163239621572415692112051285030438434445863707072,749278661516516624,45504529464849189744102481737118189173911679050744710,4122937970316743221210000128401511015005,27511308292642830602,1195612376538553656640,4836449952,80567966753877908614002054
20160318,121855127130,3947397120599207571774018159,3174834170,,722368723220135484,181392062938834441314301648090,1046149729160311056239864900,5195487892429267171423728589099646,660172554431045446101179513444163931637725450250736348763655,182212347886669382,102211051547615079464547014984464117937172871772518817,1604416741104841401232563334854410841014,27813310622685031968,11135547256171238013083,5078752733,92429267171423728589099646
